authorization_code,tx_id,fecha_tx,gateway,card_type,card_last4,monto_bruto_gw,comision_gw,neto_gw,currency,estado_gw,batch_id,tx_id_base,es_duplicado,tipo_diferencia
AUTH240401,TXN-202407-0143,2024-07-27,Datafast,VISA,2250,1589.71,55.64,1446.63,USD,SETTLED,BATCH-5657,TXN-202407-0143,1,DUPLICADO_GATEWAY
AUTH752354,TXN-202407-0172,2024-07-06,Datafast,AMEX,5374,2194.03,76.79,1996.57,USD,SETTLED,BATCH-7633,TXN-202407-0172,1,DUPLICADO_GATEWAY
AUTH165844,TXN-202407-0231,2024-07-19,Datafast,VISA,1392,2655.28,92.93,2416.31,USD,SETTLED,BATCH-2571,TXN-202407-0231,1,DUPLICADO_GATEWAY
AUTH110415,TXN-202407-0237,2024-07-09,PayPhone,MASTERCARD,8715,12.71,0.48,11.53,USD,SETTLED,BATCH-4349,TXN-202407-0237,1,DUPLICADO_GATEWAY
AUTH476729,TXN-202407-0333,2024-07-12,Medianet,MASTERCARD,5987,66.18,2.12,60.42,USD,SETTLED,BATCH-9334,TXN-202407-0333,1,DUPLICADO_GATEWAY
AUTH401681,TXN-202408-0058,2024-08-26,Datafast,VISA,4732,92.31,3.23,84.01,USD,SETTLED,BATCH-8878,TXN-202408-0058,1,DUPLICADO_GATEWAY
AUTH120733,TXN-202408-0096,2024-08-17,Datafast,VISA,8435,2285.76,80.0,2080.04,USD,SETTLED,BATCH-6371,TXN-202408-0096,1,DUPLICADO_GATEWAY
AUTH338169,TXN-202408-0172,2024-08-19,Datafast,MASTERCARD,8031,402.36,14.08,366.15,USD,SETTLED,BATCH-9729,TXN-202408-0172,1,DUPLICADO_GATEWAY
AUTH770809,TXN-202408-0482,2024-08-16,Medianet,AMEX,2359,30.51,0.98,27.85,USD,SETTLED,BATCH-1616,TXN-202408-0482,1,DUPLICADO_GATEWAY
AUTH343269,TXN-202409-0012,2024-09-28,PayPhone,MASTERCARD,3760,294.38,11.19,267.0,USD,SETTLED,BATCH-5915,TXN-202409-0012,1,DUPLICADO_GATEWAY
AUTH876345,TXN-202409-0029,2024-09-26,PayPhone,MASTERCARD,5550,31.47,1.2,28.54,USD,SETTLED,BATCH-7829,TXN-202409-0029,1,DUPLICADO_GATEWAY
AUTH761453,TXN-202409-0081,2024-09-29,Medianet,MASTERCARD,5936,16.83,0.54,15.36,USD,SETTLED,BATCH-8826,TXN-202409-0081,1,DUPLICADO_GATEWAY
AUTH140307,TXN-202409-0291,2024-09-21,Datafast,MASTERCARD,2560,42.15,1.48,38.35,USD,SETTLED,BATCH-8975,TXN-202409-0291,1,DUPLICADO_GATEWAY
AUTH499674,TXN-202409-0292,2024-09-16,Medianet,VISA,1798,73.04,2.34,66.68,USD,SETTLED,BATCH-4934,TXN-202409-0292,1,DUPLICADO_GATEWAY
AUTH262275,TXN-202409-0396,2024-09-12,PayPhone,AMEX,3016,811.91,30.85,736.4,USD,SETTLED,BATCH-9721,TXN-202409-0396,1,DUPLICADO_GATEWAY
AUTH130755,TXN-202409-0400,2024-09-13,Medianet,VISA,2173,66.58,2.13,60.78,USD,SETTLED,BATCH-7259,TXN-202409-0400,1,DUPLICADO_GATEWAY
AUTH702838,TXN-202409-0436,2024-09-01,Medianet,VISA,3077,154.99,4.96,141.51,USD,SETTLED,BATCH-2823,TXN-202409-0436,1,DUPLICADO_GATEWAY
AUTH558573,TXN-202410-0264,2024-10-22,Datafast,MASTERCARD,7968,140.74,4.93,128.07,USD,SETTLED,BATCH-4798,TXN-202410-0264,1,DUPLICADO_GATEWAY
AUTH812506,TXN-202410-0302,2024-10-12,Medianet,MASTERCARD,9768,170.85,5.47,155.98,USD,SETTLED,BATCH-5158,TXN-202410-0302,1,DUPLICADO_GATEWAY
AUTH684516,TXN-202411-0040,2024-11-18,Datafast,VISA,2094,77.52,2.71,70.54,USD,SETTLED,BATCH-3815,TXN-202411-0040,1,DUPLICADO_GATEWAY
AUTH694718,TXN-202411-0146,2024-11-19,Medianet,MASTERCARD,2186,100.51,3.22,91.76,USD,SETTLED,BATCH-3765,TXN-202411-0146,1,DUPLICADO_GATEWAY
AUTH934822,TXN-202411-0403,2024-11-25,Datafast,VISA,2284,439.94,15.4,400.34,USD,SETTLED,BATCH-4164,TXN-202411-0403,1,DUPLICADO_GATEWAY
AUTH181145,TXN-202411-0492,2024-11-09,Medianet,MASTERCARD,1756,125.25,4.01,114.35,USD,SETTLED,BATCH-3518,TXN-202411-0492,1,DUPLICADO_GATEWAY
AUTH876043,TXN-202411-0500,2024-11-17,Datafast,MASTERCARD,8723,45.88,1.61,41.75,USD,SETTLED,BATCH-5752,TXN-202411-0500,1,DUPLICADO_GATEWAY
AUTH411006,TXN-202412-0017,2024-12-24,Datafast,VISA,4327,42.47,1.49,38.65,USD,SETTLED,BATCH-8836,TXN-202412-0017,1,DUPLICADO_GATEWAY
AUTH568095,TXN-202412-0198,2024-12-23,PayPhone,VISA,1105,393.02,14.93,356.47,USD,SETTLED,BATCH-8379,TXN-202412-0198,1,DUPLICADO_GATEWAY
AUTH474775,TXN-202412-0211,2024-12-08,Medianet,MASTERCARD,3322,5.32,0.17,4.86,USD,SETTLED,BATCH-8516,TXN-202412-0211,1,DUPLICADO_GATEWAY
AUTH314584,TXN-202412-0325,2024-12-09,Datafast,MASTERCARD,5590,59.29,2.08,53.95,USD,SETTLED,BATCH-2210,TXN-202412-0325,1,DUPLICADO_GATEWAY
AUTH201050,TXN-202412-0388,2024-12-17,Datafast,VISA,7683,6.6,0.23,6.0,USD,SETTLED,BATCH-6399,TXN-202412-0388,1,DUPLICADO_GATEWAY
AUTH478110,TXN-202412-0445,2024-12-31,Medianet,MASTERCARD,7087,444.59,14.23,405.9,USD,SETTLED,BATCH-7473,TXN-202412-0445,1,DUPLICADO_GATEWAY
AUTH722560,TXN-202409-0292-DUP,2024-09-16,Medianet,VISA,6532,73.04,2.34,66.68,USD,SETTLED,BATCH-6944,TXN-202409-0292,1,DUPLICADO_GATEWAY
AUTH976583,TXN-202408-0096-DUP,2024-08-17,Datafast,VISA,1755,2285.76,80.0,2080.04,USD,SETTLED,BATCH-6193,TXN-202408-0096,1,DUPLICADO_GATEWAY
AUTH124540,TXN-202407-0237-DUP,2024-07-09,PayPhone,MASTERCARD,8022,12.71,0.48,11.53,USD,SETTLED,BATCH-7864,TXN-202407-0237,1,DUPLICADO_GATEWAY
AUTH540830,TXN-202412-0325-DUP,2024-12-09,Datafast,MASTERCARD,6011,59.29,2.08,53.95,USD,SETTLED,BATCH-2150,TXN-202412-0325,1,DUPLICADO_GATEWAY
AUTH260183,TXN-202409-0291-DUP,2024-09-21,Datafast,MASTERCARD,6936,42.15,1.48,38.35,USD,SETTLED,BATCH-3269,TXN-202409-0291,1,DUPLICADO_GATEWAY
AUTH347009,TXN-202409-0400-DUP,2024-09-13,Medianet,VISA,9820,66.58,2.13,60.78,USD,SETTLED,BATCH-3071,TXN-202409-0400,1,DUPLICADO_GATEWAY
