liquidation_id,bank_reference,transaction_id,settlement_date,transaction_date,gateway,card_type,card_last4,gross_amount,commission_amount,vat_retention,income_retention,net_amount,status,chargeback_flag,original_transaction_id
LIQ-00001,BNK244992,TXN-202407-0001,2024-07-25,2024-07-24,Medianet,VISA,8318,21.74,0.7,0.98,0.22,19.84,SETTLED,0,
LIQ-00002,BNK707732,TXN-202407-0002,2024-07-02,2024-07-01,Medianet,AMEX,3977,36.64,1.17,1.65,0.37,33.45,SETTLED,0,
LIQ-00003,BNK685432,TXN-202407-0003,2024-07-24,2024-07-21,Datafast,MASTERCARD,2848,19.91,0.7,0.9,0.2,18.11,SETTLED,0,
LIQ-00004,BNK644153,TXN-202407-0004,2024-07-02,2024-07-01,Medianet,VISA,4924,419.96,13.44,18.9,4.2,383.42,SETTLED,0,
LIQ-00005,BNK354832,TXN-202407-0005,2024-07-12,2024-07-11,Medianet,VISA,1221,76.79,2.46,3.46,0.77,70.1,SETTLED,0,
LIQ-00006,BNK237015,TXN-202407-0006,2024-07-27,2024-07-26,Datafast,VISA,8425,333.56,11.67,15.01,3.34,303.54,SETTLED,0,
LIQ-00007,BNK256489,TXN-202407-0007,2024-07-20,2024-07-18,Medianet,MASTERCARD,5524,1446.34,46.28,65.09,14.46,1320.51,SETTLED,0,
LIQ-00008,BNK129442,TXN-202407-0008,2024-07-24,2024-07-23,PayPhone,MASTERCARD,3239,322.49,12.25,14.51,3.22,292.51,SETTLED,0,
LIQ-00009,BNK951780,TXN-202407-0009,2024-07-09,2024-07-08,Datafast,VISA,4925,10.98,0.38,0.49,0.11,10,SETTLED,0,
LIQ-00010,BNK808020,TXN-202407-0010,2024-07-13,2024-07-12,Datafast,VISA,7028,148.31,5.19,6.67,1.48,134.97,SETTLED,0,
LIQ-00011,BNK889314,TXN-202407-0011,2024-07-22,2024-07-21,Medianet,MASTERCARD,2944,109.99,3.52,4.95,1.1,100.42,SETTLED,0,
LIQ-00012,BNK203343,TXN-202407-0012,2024-08-02,2024-07-30,Medianet,VISA,5353,25.25,0.81,1.14,0.25,23.05,SETTLED,0,
LIQ-00013,BNK241260,TXN-202407-0013,2024-07-03,2024-07-02,Medianet,VISA,3975,62.62,2,2.82,0.63,57.17,SETTLED,0,
LIQ-00014,BNK931765,TXN-202407-0014,2024-08-02,2024-07-30,PayPhone,AMEX,7304,9.96,0.38,0.45,0.1,9.03,SETTLED,0,
LIQ-00015,BNK482003,TXN-202407-0015,2024-08-02,2024-07-30,PayPhone,VISA,3007,246.17,9.35,11.08,2.46,223.28,SETTLED,0,
LIQ-00016,BNK516422,TXN-202407-0016,2024-07-12,2024-07-09,Datafast,VISA,5684,47.1,1.65,2.12,0.47,42.86,SETTLED,0,
LIQ-00017,BNK864624,TXN-202407-0017,2024-07-08,2024-07-05,Medianet,AMEX,1862,21.45,0.69,0.97,0.21,19.58,SETTLED,0,
LIQ-00018,BNK928989,TXN-202407-0018,2024-07-09,2024-07-06,Datafast,MASTERCARD,5338,144.19,5.05,6.49,1.44,131.21,SETTLED,0,
LIQ-00019,BNK861380,TXN-202407-0019,2024-07-19,2024-07-17,Datafast,VISA,9920,79.71,2.79,3.59,0.8,72.53,SETTLED,0,
LIQ-00020,BNK156927,TXN-202407-0020,2024-07-25,2024-07-22,PayPhone,AMEX,4201,59.05,2.24,2.66,0.59,53.56,SETTLED,0,
LIQ-00021,BNK674598,TXN-202407-0021,2024-07-08,2024-07-06,Medianet,MASTERCARD,5060,27.01,0.86,1.22,0.27,24.66,SETTLED,0,
LIQ-00022,BNK297594,TXN-202407-0022,2024-07-26,2024-07-25,Datafast,MASTERCARD,3579,488.19,17.09,21.97,4.88,444.25,SETTLED,0,
LIQ-00023,BNK281682,TXN-202407-0023,2024-07-20,2024-07-17,Medianet,VISA,7806,433.5,13.87,19.51,4.33,395.79,SETTLED,0,
LIQ-00024,BNK139486,TXN-202407-0024,2024-08-02,2024-07-30,Datafast,VISA,2906,76.51,2.68,3.44,0.77,69.62,SETTLED,0,
LIQ-00025,BNK146625,TXN-202407-0025,2024-07-14,2024-07-12,PayPhone,MASTERCARD,5931,13.39,0.51,0.6,0.13,12.15,SETTLED,0,
LIQ-00026,BNK378199,TXN-202407-0026,2024-07-26,2024-07-24,Datafast,VISA,6189,113.08,3.96,5.09,1.13,102.9,SETTLED,0,
LIQ-00027,BNK897962,TXN-202407-0027,2024-07-24,2024-07-22,PayPhone,DINERS,6061,14.43,0.55,0.65,0.14,13.09,SETTLED,0,
LIQ-00028,BNK681131,TXN-202407-0028,2024-08-01,2024-07-31,PayPhone,VISA,4497,50.49,1.92,2.27,0.5,45.8,SETTLED,0,
LIQ-00029,BNK612696,TXN-202407-0029,2024-07-16,2024-07-13,PayPhone,MASTERCARD,1914,379.44,17.04,17.07,3.79,341.54,SETTLED,0,
LIQ-00030,BNK736045,TXN-202407-0030,2024-07-09,2024-07-08,Medianet,VISA,8418,14.08,0.45,0.63,0.14,12.86,SETTLED,0,
LIQ-00031,BNK950219,TXN-202407-0031,2024-07-06,2024-07-03,Datafast,MASTERCARD,7760,21.52,0.75,0.97,0.22,19.58,SETTLED,0,
LIQ-00032,BNK819338,TXN-202407-0032,2024-07-06,2024-07-03,Medianet,VISA,4604,2649.09,84.77,119.21,26.49,2418.62,SETTLED,0,
LIQ-00033,BNK588219,TXN-202407-0033,2024-08-02,2024-07-30,Datafast,MASTERCARD,8502,14.92,0.52,0.67,0.15,13.58,SETTLED,0,
LIQ-00034,BNK643816,TXN-202407-0034,2024-07-05,2024-07-04,Medianet,VISA,4702,35.53,1.14,1.6,0.36,32.43,SETTLED,0,
LIQ-00035,BNK627916,TXN-202407-0035,2024-07-05,2024-07-02,Medianet,VISA,2708,69.79,2.23,3.14,0.7,63.72,SETTLED,0,
LIQ-00036,BNK630490,TXN-202407-0036,2024-07-27,2024-07-26,Medianet,MASTERCARD,1296,59.62,1.91,2.68,0.6,54.43,SETTLED,0,
LIQ-00037,BNK696557,TXN-202407-0037,2024-07-11,2024-07-09,Datafast,VISA,1491,36.64,1.28,1.65,0.37,33.34,SETTLED,0,
LIQ-00038,BNK559664,TXN-202407-0038,2024-07-19,2024-07-18,Datafast,DINERS,9751,69.6,2.44,3.13,0.7,63.33,SETTLED,0,
LIQ-00039,BNK466281,TXN-202407-0039,2024-07-31,2024-07-30,Datafast,DINERS,2998,486.98,17.04,21.91,4.87,443.16,SETTLED,0,
LIQ-00040,BNK816803,TXN-202407-0040,2024-07-03,2024-07-02,Datafast,VISA,9121,35.08,1.23,1.58,0.35,31.92,SETTLED,0,
LIQ-00041,BNK320815,TXN-202407-0041,2024-07-17,2024-07-15,Datafast,DINERS,9697,63.81,2.23,2.87,0.64,58.07,SETTLED,0,
LIQ-00042,BNK826998,TXN-202407-0042,2024-07-25,2024-07-23,Datafast,DINERS,6837,1889.42,66.13,85.02,18.89,1719.38,SETTLED,0,
LIQ-00043,BNK875926,TXN-202407-0043,2024-07-19,2024-07-18,Datafast,VISA,3736,1947.95,68.18,87.66,19.48,1772.63,SETTLED,0,
LIQ-00044,BNK857118,TXN-202407-0044,2024-07-31,2024-07-28,Medianet,VISA,3327,291.2,9.32,13.1,2.91,265.87,SETTLED,0,
LIQ-00045,BNK839196,TXN-202407-0045,2024-07-21,2024-07-20,Datafast,DINERS,2970,18.94,0.66,0.85,0.19,17.24,SETTLED,0,
LIQ-00046,BNK490272,TXN-202407-0046,2024-07-11,2024-07-08,Medianet,VISA,2300,71.77,2.67,3.23,0.72,65.15,SETTLED,0,
LIQ-00047,BNK799764,TXN-202407-0047,2024-07-19,2024-07-17,Medianet,MASTERCARD,7035,48.78,1.56,2.2,0.49,44.53,SETTLED,0,
LIQ-00048,BNK639318,TXN-202407-0048,2024-07-14,2024-07-13,PayPhone,VISA,9994,180.25,6.85,8.11,1.8,163.49,SETTLED,0,
LIQ-00049,BNK474723,TXN-202407-0049,2024-07-04,2024-07-03,Medianet,VISA,8317,61.39,1.96,2.76,0.61,56.06,SETTLED,0,
LIQ-00050,BNK293626,TXN-202407-0050,2024-07-10,2024-07-07,Datafast,DINERS,2513,683.15,23.91,30.74,6.83,621.67,SETTLED,0,
LIQ-00051,BNK348298,TXN-202407-0051,2024-07-14,2024-07-12,Datafast,DINERS,5601,449.29,15.73,20.22,4.49,408.85,SETTLED,0,
LIQ-00052,BNK768390,TXN-202407-0052,2024-07-29,2024-07-26,Datafast,AMEX,6215,336.9,11.79,15.16,3.37,306.58,SETTLED,0,
LIQ-00053,BNK660977,TXN-202407-0053,2024-07-05,2024-07-04,Medianet,MASTERCARD,3562,471.34,15.08,21.21,4.71,430.34,SETTLED,0,
LIQ-00054,BNK513501,TXN-202407-0054,2024-07-13,2024-07-10,Datafast,AMEX,4426,145.29,5.09,6.54,1.45,132.21,SETTLED,0,
LIQ-00055,BNK163838,TXN-202407-0055,2024-07-19,2024-07-17,Datafast,VISA,6943,438.22,15.34,19.72,4.38,398.78,SETTLED,0,
LIQ-00056,BNK937489,TXN-202407-0056,2024-07-29,2024-07-27,Datafast,AMEX,5577,52.57,1.84,2.37,0.53,47.83,SETTLED,0,
LIQ-00057,BNK978554,TXN-202407-0057,2024-07-09,2024-07-06,Datafast,VISA,3887,78.48,2.75,3.53,0.78,71.42,SETTLED,0,
LIQ-00058,BNK887068,TXN-202407-0058,2024-08-03,2024-07-31,Datafast,MASTERCARD,8093,126.99,4.44,5.71,1.27,115.57,SETTLED,0,
LIQ-00059,BNK928727,TXN-202407-0059,2024-07-07,2024-07-05,PayPhone,MASTERCARD,9281,324.65,12.34,14.61,3.25,294.45,SETTLED,0,
LIQ-00060,BNK953132,TXN-202407-0060,2024-07-29,2024-07-28,Datafast,VISA,8547,414.37,14.5,18.65,4.14,377.08,SETTLED,0,
