invoice_number,transaction_id,invoice_date,client_name,client_ruc,subtotal,iva_amount,total_invoice,payment_method,card_type,status,erp_module
FAC-000001,TXN-202407-0001,2024-07-24,Inmobiliaria Novoa S.A.,8736835991676,18.9,2.84,21.74,Medianet,VISA,PAGADA,E-commerce
FAC-000002,TXN-202407-0002,2024-07-01,Montserrat & Asociados S.L.L.,4503239193252,31.86,4.78,36.64,Medianet,AMEX,PAGADA,Ventas
FAC-000003,TXN-202407-0003,2024-07-21,Transportes Cabello S.A.T.,7826712693794,17.31,2.6,19.91,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000004,TXN-202407-0004,2024-07-01,Compañía Aragón S.Coop.,8799522529644,365.18,54.78,419.96,Medianet,VISA,PAGADA,E-commerce
FAC-000005,TXN-202407-0005,2024-07-11,Serra y Noriega S.A.,4884368681114,66.77,10.02,76.79,Medianet,VISA,PAGADA,POS
FAC-000006,TXN-202407-0006,2024-07-26,Instalaciones Diéguez y asociados S.C.P,3830640980587,290.05,43.51,333.56,Datafast,VISA,PAGADA,POS
FAC-000007,TXN-202407-0007,2024-07-18,Familia Valenzuela S.L.,7115559062787,1257.69,188.65,1446.34,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000008,TXN-202407-0008,2024-07-23,Desarrollo CMC S.Com.,8802591204637,280.43,42.06,322.49,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000009,TXN-202407-0009,2024-07-08,Guardiola y asociados S.Com.,3116266032358,9.55,1.43,10.98,Datafast,VISA,PAGADA,POS
FAC-000010,TXN-202407-0010,2024-07-12,Buendía & Asociados S.L.,4818029559997,128.97,19.34,148.31,Datafast,VISA,PAGADA,E-commerce
FAC-000011,TXN-202407-0011,2024-07-21,Minería Beltran S.L.,6937939579551,95.64,14.35,109.99,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000012,TXN-202407-0012,2024-07-30,Aroa Tovar Navarro S.Com.,8224741117367,21.96,3.29,25.25,Medianet,VISA,PAGADA,Ventas
FAC-000013,TXN-202407-0013,2024-07-02,Teófila Barros Soler S.Coop.,1138625676112,54.45,8.17,62.62,Medianet,VISA,PAGADA,E-commerce
FAC-000014,TXN-202407-0014,2024-07-30,Comercial Internacionales S.L.,5684233008056,8.66,1.3,9.96,PayPhone,AMEX,PAGADA,Ventas
FAC-000015,TXN-202407-0015,2024-07-30,Hnos Pedraza S.A.,4108292482873,214.06,32.11,246.17,PayPhone,VISA,PAGADA,POS
FAC-000016,TXN-202407-0016,2024-07-09,Manufacturas Perea S.A.,3110788312736,40.96,6.14,47.1,Datafast,VISA,PAGADA,POS
FAC-000017,TXN-202407-0017,2024-07-05,Sanabria y asociados S.Com.,5548522072019,18.65,2.8,21.45,Medianet,AMEX,PAGADA,E-commerce
FAC-000018,TXN-202407-0018,2024-07-06,Tecnologías del Mediterráneo S.Coop.,6708428741627,125.38,18.81,144.19,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000019,TXN-202407-0019,2024-07-17,Anglada y Pascual S.A.T.,8863651295551,69.31,10.4,79.71,Datafast,VISA,PAGADA,Ventas
FAC-000020,TXN-202407-0020,2024-07-22,Enríquez y Espada S.L.N.E,9700510819484,51.35,7.7,59.05,PayPhone,AMEX,PAGADA,Ventas
FAC-000021,TXN-202407-0021,2024-07-06,Supermercados Jaume S.L.,2626230036072,23.49,3.52,27.01,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000022,TXN-202407-0023,2024-07-17,Industrias CH S.A.U,2635028303424,376.96,56.54,433.5,Medianet,VISA,PAGADA,E-commerce
FAC-000023,TXN-202407-0024,2024-07-30,Farmaceútica Arenas S.L.,3575391692809,66.53,9.98,76.51,Datafast,VISA,PAGADA,Ventas
FAC-000024,TXN-202407-0025,2024-07-12,Elías Méndez Carrillo S.A.,2466316696874,11.64,1.75,13.39,PayPhone,MASTERCARD,PAGADA,E-commerce
FAC-000025,TXN-202407-0026,2024-07-24,Micaela Fiol Morata S.A.,1133045441061,98.33,14.75,113.08,Datafast,VISA,PAGADA,E-commerce
FAC-000026,TXN-202407-0027,2024-07-22,Artemio Chacón Torrijos S.L.L.,6564970084458,12.55,1.88,14.43,PayPhone,DINERS,PAGADA,Ventas
FAC-000027,TXN-202407-0028,2024-07-31,Talleres Osorio y asociados S.A.,1315176429628,43.9,6.59,50.49,PayPhone,VISA,PAGADA,Ventas
FAC-000028,TXN-202407-0029,2024-07-13,Inversiones del Noroeste S.A.U,1092411505096,329.95,49.49,379.44,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000029,TXN-202407-0030,2024-07-08,Grupo Plana S.L.U.,8896131525523,12.24,1.84,14.08,Medianet,VISA,PAGADA,Ventas
FAC-000030,TXN-202407-0031,2024-07-03,Ibañez & Asociados S.C.P,9922805883774,18.71,2.81,21.52,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000031,TXN-202407-0032,2024-07-03,Comercializadora Torre S.C.P,4054047625395,2303.56,345.53,2649.09,Medianet,VISA,PAGADA,Ventas
FAC-000032,TXN-202407-0033,2024-07-30,Farmaceútica Alba & Asociados S.A.T.,1511152558627,12.97,1.95,14.92,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000033,TXN-202407-0034,2024-07-04,Comercial OB S.A.,6788826031748,30.9,4.63,35.53,Medianet,VISA,PAGADA,E-commerce
FAC-000034,TXN-202407-0035,2024-07-02,Perales y Peinado S.L.L.,8503045880971,60.69,9.1,69.79,Medianet,VISA,PAGADA,Ventas
FAC-000035,TXN-202407-0036,2024-07-26,Mamen Cadenas Jara S.Com.,7961422935545,51.84,7.78,59.62,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000036,TXN-202407-0037,2024-07-09,Ribes & Asociados S.A.,8620559675779,31.86,4.78,36.64,Datafast,VISA,PAGADA,Ventas
FAC-000037,TXN-202407-0038,2024-07-18,Hnos Alberola S.L.,8711379830457,60.52,9.08,69.6,Datafast,DINERS,PAGADA,Ventas
FAC-000038,TXN-202407-0039,2024-07-30,Minería BEJR S.L.N.E,6227451160895,423.46,63.52,486.98,Datafast,DINERS,PAGADA,E-commerce
FAC-000039,TXN-202407-0040,2024-07-02,Soluciones XFX S.L.N.E,7797015221336,30.5,4.58,35.08,Datafast,VISA,PAGADA,Ventas
FAC-000040,TXN-202407-0041,2024-07-15,Lladó y Salcedo S.L.,7696008347612,55.49,8.32,63.81,Datafast,DINERS,PAGADA,Ventas
FAC-000041,TXN-202407-0042,2024-07-23,Comercializadora Ibéricos S.Coop.,9589899307461,1642.97,246.45,1889.42,Datafast,DINERS,PAGADA,Ventas
FAC-000042,TXN-202407-0043,2024-07-18,Hermanos Seco S.Com.,2439979927156,1693.87,254.08,1947.95,Datafast,VISA,PAGADA,Ventas
FAC-000043,TXN-202407-0044,2024-07-28,Restauración Iberia S.A.,1633878852858,253.22,37.98,291.2,Medianet,VISA,PAGADA,Ventas
FAC-000044,TXN-202407-0045,2024-07-20,Desarrollo Globales S.L.N.E,8886818439763,16.47,2.47,18.94,Datafast,DINERS,PAGADA,Ventas
