authorization_code,transaction_id,transaction_date,gateway_name,card_type,card_last4,gross_amount,gateway_fee,net_to_bank,currency,status,batch_id
AUTH574631,TXN-202407-0001,2024-07-24,Medianet,VISA,8019,21.74,0.7,19.84,USD,SETTLED,BATCH-3229
AUTH857896,TXN-202407-0002,2024-07-01,Medianet,AMEX,6183,36.64,1.17,33.45,USD,SETTLED,BATCH-2982
AUTH100598,TXN-202407-0003,2024-07-21,Datafast,MASTERCARD,5468,19.91,0.7,18.11,USD,SETTLED,BATCH-8845
AUTH630228,TXN-202407-0004,2024-07-01,Medianet,VISA,9882,419.96,13.44,383.42,USD,SETTLED,BATCH-4708
AUTH672660,TXN-202407-0005,2024-07-11,Medianet,VISA,8340,76.79,2.46,70.1,USD,SETTLED,BATCH-5812
AUTH555972,TXN-202407-0006,2024-07-26,Datafast,VISA,1911,333.56,11.67,303.54,USD,SETTLED,BATCH-1183
AUTH415991,TXN-202407-0007,2024-07-18,Medianet,MASTERCARD,5596,1446.34,46.28,1320.51,USD,SETTLED,BATCH-3953
AUTH955705,TXN-202407-0008,2024-07-23,PayPhone,MASTERCARD,8635,322.49,12.25,292.51,USD,SETTLED,BATCH-6007
AUTH102924,TXN-202407-0009,2024-07-08,Datafast,VISA,8317,10.98,0.38,10.0,USD,SETTLED,BATCH-3172
AUTH539034,TXN-202407-0010,2024-07-12,Datafast,VISA,6291,148.31,5.19,134.97,USD,SETTLED,BATCH-3812
AUTH884527,TXN-202407-0011,2024-07-21,Medianet,MASTERCARD,5251,109.99,3.52,100.42,USD,SETTLED,BATCH-3797
AUTH619214,TXN-202407-0012,2024-07-30,Medianet,VISA,2156,25.25,0.81,23.05,USD,SETTLED,BATCH-5429
AUTH481039,TXN-202407-0013,2024-07-02,Medianet,VISA,8293,62.62,2.0,57.17,USD,SETTLED,BATCH-2541
AUTH890141,TXN-202407-0014,2024-07-30,PayPhone,AMEX,7893,9.96,0.38,9.03,USD,SETTLED,BATCH-9605
AUTH532834,TXN-202407-0015,2024-07-30,PayPhone,VISA,9133,246.17,9.35,223.28,USD,SETTLED,BATCH-4760
AUTH987606,TXN-202407-0016,2024-07-09,Datafast,VISA,6143,47.1,1.65,42.86,USD,SETTLED,BATCH-2004
AUTH122754,TXN-202407-0017,2024-07-05,Medianet,AMEX,6142,21.45,0.69,19.58,USD,SETTLED,BATCH-7746
AUTH277886,TXN-202407-0018,2024-07-06,Datafast,MASTERCARD,4318,144.19,5.05,131.21,USD,SETTLED,BATCH-5024
AUTH146761,TXN-202407-0019,2024-07-17,Datafast,VISA,9598,79.71,2.79,72.53,USD,SETTLED,BATCH-4028
AUTH672145,TXN-202407-0020,2024-07-22,PayPhone,AMEX,2268,59.05,2.24,53.56,USD,SETTLED,BATCH-4845
AUTH110726,TXN-202407-0021,2024-07-06,Medianet,MASTERCARD,9923,27.01,0.86,24.66,USD,SETTLED,BATCH-8108
AUTH797415,TXN-202407-0022,2024-07-25,Datafast,MASTERCARD,9860,488.19,17.09,-444.25,USD,CHARGEBACK,BATCH-6122
AUTH849593,TXN-202407-0023,2024-07-17,Medianet,VISA,1651,433.5,13.87,395.79,USD,SETTLED,BATCH-6055
AUTH208299,TXN-202407-0024,2024-07-30,Datafast,VISA,8412,76.51,2.68,69.62,USD,SETTLED,BATCH-1236
AUTH692492,TXN-202407-0025,2024-07-12,PayPhone,MASTERCARD,4442,13.39,0.51,12.15,USD,SETTLED,BATCH-2542
AUTH983325,TXN-202407-0026,2024-07-24,Datafast,VISA,8582,113.08,3.96,102.9,USD,SETTLED,BATCH-9917
AUTH985462,TXN-202407-0027,2024-07-22,PayPhone,DINERS,9424,14.43,0.55,13.09,USD,SETTLED,BATCH-2636
AUTH280100,TXN-202407-0028,2024-07-31,PayPhone,VISA,2086,50.49,1.92,45.8,USD,SETTLED,BATCH-6079
AUTH723925,TXN-202407-0029,2024-07-13,PayPhone,MASTERCARD,6779,379.44,17.04,341.54,USD,SETTLED,BATCH-5754
AUTH148714,TXN-202407-0030,2024-07-08,Medianet,VISA,2061,14.08,0.45,12.86,USD,SETTLED,BATCH-5398
AUTH273962,TXN-202407-0031,2024-07-03,Datafast,MASTERCARD,6249,21.52,0.75,19.58,USD,SETTLED,BATCH-3755
AUTH295214,TXN-202407-0032,2024-07-03,Medianet,VISA,9095,2649.09,84.77,2418.62,USD,SETTLED,BATCH-5858
AUTH909130,TXN-202407-0033,2024-07-30,Datafast,MASTERCARD,1951,14.92,0.52,13.58,USD,SETTLED,BATCH-5435
AUTH181531,TXN-202407-0034,2024-07-04,Medianet,VISA,5956,35.53,1.14,32.43,USD,SETTLED,BATCH-3544
AUTH489444,TXN-202407-0035,2024-07-02,Medianet,VISA,7055,69.79,2.23,63.72,USD,SETTLED,BATCH-1504
AUTH914355,TXN-202407-0036,2024-07-26,Medianet,MASTERCARD,9354,59.62,1.91,54.43,USD,SETTLED,BATCH-3577
AUTH965368,TXN-202407-0037,2024-07-09,Datafast,VISA,7399,36.64,1.28,33.34,USD,SETTLED,BATCH-5579
AUTH413831,TXN-202407-0038,2024-07-18,Datafast,DINERS,3746,69.6,2.44,63.33,USD,SETTLED,BATCH-5008
AUTH953381,TXN-202407-0039,2024-07-30,Datafast,DINERS,7635,486.98,17.04,443.16,USD,SETTLED,BATCH-7026
AUTH349767,TXN-202407-0040,2024-07-02,Datafast,VISA,4442,35.08,1.23,31.92,USD,SETTLED,BATCH-1119
AUTH749798,TXN-202407-0041,2024-07-15,Datafast,DINERS,9282,63.81,2.23,58.07,USD,SETTLED,BATCH-6040
AUTH134156,TXN-202407-0042,2024-07-23,Datafast,DINERS,5318,1889.42,66.13,1719.38,USD,SETTLED,BATCH-8196
AUTH393069,TXN-202407-0043,2024-07-18,Datafast,VISA,9384,1947.95,68.18,1772.63,USD,SETTLED,BATCH-7739
AUTH371631,TXN-202407-0044,2024-07-28,Medianet,VISA,8262,291.2,9.32,265.87,USD,SETTLED,BATCH-6751
AUTH668552,TXN-202407-0045,2024-07-20,Datafast,DINERS,7734,18.94,0.66,17.24,USD,SETTLED,BATCH-2488
AUTH700228,TXN-202407-0046,2024-07-08,Medianet,VISA,4364,71.77,2.67,65.15,USD,SETTLED,BATCH-2933
AUTH136275,TXN-202407-0047,2024-07-17,Medianet,MASTERCARD,9603,48.78,1.56,44.53,USD,SETTLED,BATCH-9433
AUTH713187,TXN-202407-0048,2024-07-13,PayPhone,VISA,1374,180.25,6.85,163.49,USD,SETTLED,BATCH-7976
AUTH336108,TXN-202407-0049,2024-07-03,Medianet,VISA,3548,61.39,1.96,56.06,USD,SETTLED,BATCH-2067
AUTH281773,TXN-202407-0050,2024-07-07,Datafast,DINERS,1276,683.15,23.91,621.67,USD,SETTLED,BATCH-6510
AUTH264497,TXN-202407-0051,2024-07-12,Datafast,DINERS,8847,449.29,15.73,408.85,USD,SETTLED,BATCH-7824
AUTH465424,TXN-202407-0052,2024-07-26,Datafast,AMEX,7530,336.9,11.79,306.58,USD,SETTLED,BATCH-5488
AUTH301775,TXN-202407-0053,2024-07-04,Medianet,MASTERCARD,2298,471.34,15.08,430.34,USD,SETTLED,BATCH-1132
AUTH359277,TXN-202407-0054,2024-07-10,Datafast,AMEX,3472,145.29,5.09,132.21,USD,SETTLED,BATCH-5669
AUTH316310,TXN-202407-0055,2024-07-17,Datafast,VISA,4896,438.22,15.34,398.78,USD,SETTLED,BATCH-2688
AUTH281732,TXN-202407-0056,2024-07-27,Datafast,AMEX,7539,52.57,1.84,47.83,USD,SETTLED,BATCH-6061
AUTH106879,TXN-202407-0057,2024-07-06,Datafast,VISA,2782,78.48,2.75,71.42,USD,SETTLED,BATCH-9109
AUTH275922,TXN-202407-0058,2024-07-31,Datafast,MASTERCARD,3955,126.99,4.44,115.57,USD,SETTLED,BATCH-6759
AUTH356564,TXN-202407-0059,2024-07-05,PayPhone,MASTERCARD,2876,324.65,12.34,294.45,USD,SETTLED,BATCH-4152
AUTH474887,TXN-202407-0060,2024-07-28,Datafast,VISA,1456,414.37,14.5,377.08,USD,SETTLED,BATCH-9833
AUTH170501,TXN-202407-0061,2024-07-25,PayPhone,VISA,6467,12.71,0.48,11.53,USD,SETTLED,BATCH-2064
AUTH142715,TXN-202407-0062,2024-07-30,PayPhone,VISA,2445,144.91,5.51,131.43,USD,SETTLED,BATCH-4154
AUTH261443,TXN-202407-0063,2024-07-01,PayPhone,DINERS,9965,450.19,17.11,408.32,USD,SETTLED,BATCH-8658
AUTH948914,TXN-202407-0064,2024-07-28,Medianet,VISA,9959,2505.59,80.18,2287.6,USD,SETTLED,BATCH-1637
